2024-03-18T02:44:03.875+09:00  WARN 16672 --- [http-nio-80-exec-9] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Failed to convert value of type 'java.lang.String' to required type 'int'; For input string: ""]
2024-03-18T02:44:48.771+09:00  WARN 16672 --- [http-nio-80-exec-7] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Failed to convert value of type 'java.lang.String' to required type 'int'; For input string: ""]
2024-03-18T02:45:07.067+09:00  INFO 11220 --- [main] com._S2JG.AppStart                       : Starting AppStart using Java 17.0.9 with PID 11220 (C:\Users\user\IdeaProjects\S2JG\build\classes\java\main started by user in C:\Users\user\IdeaProjects\S2JG)
2024-03-18T02:45:07.069+09:00  INFO 11220 --- [main] com._S2JG.AppStart                       : No active profile set, falling back to 1 default profile: "default"
2024-03-18T02:45:07.969+09:00  INFO 11220 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 80 (http)
2024-03-18T02:45:07.981+09:00  INFO 11220 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-03-18T02:45:07.982+09:00  INFO 11220 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-18T02:45:08.045+09:00  INFO 11220 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-03-18T02:45:08.045+09:00  INFO 11220 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 935 ms
2024-03-18T02:45:08.548+09:00  INFO 11220 --- [main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
